"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","74","43070  >  8092 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=178354422 TSecr=0 WS=128"
"2","0.000024884","127.0.0.1","127.0.0.1","TCP","74","8092  >  43070 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=178354423 TSecr=178354422 WS=128"
"3","0.000046055","127.0.0.1","127.0.0.1","TCP","66","43070  >  8092 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=178354423 TSecr=178354423"
"4","0.000202215","127.0.0.1","127.0.0.1","HTTP","173","POST / HTTP/1.1 "
"5","0.000212376","127.0.0.1","127.0.0.1","TCP","66","8092  >  43070 [ACK] Seq=1 Ack=108 Win=65408 Len=0 TSval=178354423 TSecr=178354423"
"6","0.000738144","127.0.0.1","127.0.0.1","HTTP","166","HTTP/1.1 200 OK "
"7","0.000768393","127.0.0.1","127.0.0.1","TCP","66","43070  >  8092 [ACK] Seq=108 Ack=101 Win=65536 Len=0 TSval=178354423 TSecr=178354423"
"8","0.001071875","127.0.0.1","127.0.0.1","TCP","74","37454  >  8093 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=178354424 TSecr=0 WS=128"
"9","0.001096723","127.0.0.1","127.0.0.1","TCP","74","8093  >  37454 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=178354424 TSecr=178354424 WS=128"
"10","0.001118900","127.0.0.1","127.0.0.1","TCP","66","37454  >  8093 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=178354424 TSecr=178354424"
"11","0.001265227","127.0.0.1","127.0.0.1","HTTP","173","POST / HTTP/1.1 "
"12","0.001277564","127.0.0.1","127.0.0.1","TCP","66","8093  >  37454 [ACK] Seq=1 Ack=108 Win=65408 Len=0 TSval=178354424 TSecr=178354424"
"13","0.001637729","127.0.0.1","127.0.0.1","TCP","74","39742  >  8091 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=178354424 TSecr=0 WS=128"
"14","0.001655935","127.0.0.1","127.0.0.1","TCP","74","8091  >  39742 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=178354424 TSecr=178354424 WS=128"
"15","0.001672317","127.0.0.1","127.0.0.1","TCP","66","39742  >  8091 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=178354424 TSecr=178354424"
"16","0.001697633","127.0.0.1","127.0.0.1","HTTP","166","HTTP/1.1 200 OK "
"17","0.001719577","127.0.0.1","127.0.0.1","TCP","66","37454  >  8093 [ACK] Seq=108 Ack=101 Win=65536 Len=0 TSval=178354424 TSecr=178354424"
"18","0.001805737","127.0.0.1","127.0.0.1","TCP","66","8091  >  39742 [FIN, ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=178354424 TSecr=178354424"
"19","0.001874563","127.0.0.1","127.0.0.1","HTTP","196","POST / HTTP/1.1 "
"20","0.001897676","127.0.0.1","127.0.0.1","TCP","54","8091  >  39742 [RST] Seq=2 Win=0 Len=0"
"21","0.002144307","127.0.0.1","127.0.0.1","TCP","74","39744  >  8091 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=178354425 TSecr=0 WS=128"
"22","0.002160534","127.0.0.1","127.0.0.1","TCP","74","8091  >  39744 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=178354425 TSecr=178354425 WS=128"
"23","0.002173763","127.0.0.1","127.0.0.1","TCP","66","39744  >  8091 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=178354425 TSecr=178354425"
"24","0.002361124","127.0.0.1","127.0.0.1","HTTP","196","POST / HTTP/1.1 "
"25","0.002380366","127.0.0.1","127.0.0.1","TCP","66","8091  >  39744 [ACK] Seq=1 Ack=131 Win=65408 Len=0 TSval=178354425 TSecr=178354425"
"26","0.002981333","127.0.0.1","127.0.0.1","HTTP","166","HTTP/1.1 200 OK "
"27","0.002999348","127.0.0.1","127.0.0.1","TCP","66","39744  >  8091 [ACK] Seq=131 Ack=101 Win=65536 Len=0 TSval=178354425 TSecr=178354425"
