"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","74","60906  >  8092 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=179383603 TSecr=0 WS=128"
"2","0.000042275","127.0.0.1","127.0.0.1","TCP","74","8092  >  60906 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=179383603 TSecr=179383603 WS=128"
"3","0.000089230","127.0.0.1","127.0.0.1","TCP","66","60906  >  8092 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=179383603 TSecr=179383603"
"4","0.000286639","127.0.0.1","127.0.0.1","HTTP","173","POST / HTTP/1.1 "
"5","0.000301782","127.0.0.1","127.0.0.1","TCP","66","8092  >  60906 [ACK] Seq=1 Ack=108 Win=65408 Len=0 TSval=179383603 TSecr=179383603"
"6","0.004150018","127.0.0.1","127.0.0.1","HTTP","166","HTTP/1.1 200 OK "
"7","0.004173274","127.0.0.1","127.0.0.1","TCP","66","60906  >  8092 [ACK] Seq=108 Ack=101 Win=65536 Len=0 TSval=179383607 TSecr=179383607"
"8","0.004582661","127.0.0.1","127.0.0.1","TCP","74","46012  >  8093 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=179383607 TSecr=0 WS=128"
"9","0.004614971","127.0.0.1","127.0.0.1","TCP","74","8093  >  46012 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=179383607 TSecr=179383607 WS=128"
"10","0.004641767","127.0.0.1","127.0.0.1","TCP","66","46012  >  8093 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=179383607 TSecr=179383607"
"11","0.004764901","127.0.0.1","127.0.0.1","TCP","74","52252  >  8091 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=179383608 TSecr=0 WS=128"
"12","0.004790686","127.0.0.1","127.0.0.1","TCP","74","8091  >  52252 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=179383608 TSecr=179383608 WS=128"
"13","0.004813799","127.0.0.1","127.0.0.1","TCP","66","52252  >  8091 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=179383608 TSecr=179383608"
"14","0.004952992","127.0.0.1","127.0.0.1","HTTP","173","POST / HTTP/1.1 "
"15","0.004978684","127.0.0.1","127.0.0.1","TCP","66","8093  >  46012 [ACK] Seq=1 Ack=108 Win=65408 Len=0 TSval=179383608 TSecr=179383608"
"16","0.005042476","127.0.0.1","127.0.0.1","HTTP","196","POST / HTTP/1.1 "
"17","0.005055536","127.0.0.1","127.0.0.1","TCP","66","8091  >  52252 [ACK] Seq=1 Ack=131 Win=65408 Len=0 TSval=179383608 TSecr=179383608"
"18","0.005314927","127.0.0.1","127.0.0.1","HTTP","166","HTTP/1.1 200 OK "
"19","0.005318826","127.0.0.1","127.0.0.1","HTTP","166","HTTP/1.1 200 OK "
